block,line,window,lag_ns,r
A,20.8.26 A Block new024_20260820_17,shallow 4-10ns,3.0898,0.2767
A,20.8.26 A Block new024_20260820_17,mid 8-16ns,2.3273,0.4604
B,20.8.26 B Block proceq new001_2026,surface 0-3ns,0.2574,0.7255
B,20.8.26 B Block proceq new001_2026,shallow 4-10ns,4.6526,0.2827
B,20.8.26 B Block proceq new001_2026,mid 8-16ns,1.5878,0.4061
B,20.8.26 B Block proceq new002_2026,surface 0-3ns,0.2646,0.7322
B,20.8.26 B Block proceq new002_2026,shallow 4-10ns,-1.8058,0.3796
B,20.8.26 B Block proceq new002_2026,mid 8-16ns,1.9611,0.3306
B,20.8.26 B Block proceq new003_2026,surface 0-3ns,0.2727,0.7273
B,20.8.26 B Block proceq new003_2026,shallow 4-10ns,-2.9505,0.3438
B,20.8.26 B Block proceq new003_2026,mid 8-16ns,2.0667,0.4155
B,20.8.26 B Block proceq new004_2026,surface 0-3ns,0.2595,0.7317
B,20.8.26 B Block proceq new004_2026,shallow 4-10ns,-3.3309,0.3222
B,20.8.26 B Block proceq new004_2026,mid 8-16ns,-2.9696,0.3183
B,20.8.26 B Block proceq new005_2026,surface 0-3ns,0.2713,0.6841
B,20.8.26 B Block proceq new005_2026,shallow 4-10ns,3.0862,0.5067
B,20.8.26 B Block proceq new005_2026,mid 8-16ns,1.7138,0.3315
B,20.8.26 B Block proceq new006_2026,surface 0-3ns,0.2645,0.6958
B,20.8.26 B Block proceq new006_2026,shallow 4-10ns,-2.6123,0.534
B,20.8.26 B Block proceq new006_2026,mid 8-16ns,2.612,0.6511
B,20.8.26 B Block proceq new007_2026,surface 0-3ns,0.2648,0.705
B,20.8.26 B Block proceq new007_2026,shallow 4-10ns,2.9712,0.3341
B,20.8.26 B Block proceq new007_2026,mid 8-16ns,1.2204,0.2094
B,20.8.26 B Block proceq new008_2026,surface 0-3ns,0.2558,0.6629
B,20.8.26 B Block proceq new008_2026,shallow 4-10ns,-4.6235,0.4094
B,20.8.26 B Block proceq new008_2026,mid 8-16ns,-0.954,0.1782
