block,line,orientation,fixed_axis,fixed_cm,run_axis,run_from_cm,run_to_measured_cm,nominal_len_cm,len_error_cm,n_traces,trace_spacing_cm,ns_HF,ns_LF,window_HF_ns,window_LF_ns,antenna_offset_HF_cm,antenna_offset_LF_cm,sgy_HF,sgy_LF
A,15,Y-line,x,100,y,0,545.0,550,-5.0,219,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new015_20260820_172313\20.8.26 A Block new015_20260820_172313_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new015_20260820_172313\20.8.26 A Block new015_20260820_172313_20260821_113207_LF.sgy
A,16,Y-line,x,150,y,0,547.5,550,-2.5,220,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new016_20260820_172355\20.8.26 A Block new016_20260820_172355_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new016_20260820_172355\20.8.26 A Block new016_20260820_172355_20260821_113207_LF.sgy
A,17,Y-line,x,200,y,0,550.0,550,0.0,221,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new017_20260820_172444\20.8.26 A Block new017_20260820_172444_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new017_20260820_172444\20.8.26 A Block new017_20260820_172444_20260821_113207_LF.sgy
A,18,Y-line,x,250,y,0,545.0,550,-5.0,219,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new018_20260820_172527\20.8.26 A Block new018_20260820_172527_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new018_20260820_172527\20.8.26 A Block new018_20260820_172527_20260821_113207_LF.sgy
A,19,Y-line,x,300,y,0,547.5,550,-2.5,220,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new019_20260820_172601\20.8.26 A Block new019_20260820_172601_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new019_20260820_172601\20.8.26 A Block new019_20260820_172601_20260821_113207_LF.sgy
A,20,Y-line,x,350,y,0,525.0,550,-25.0,211,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new020_20260820_172646\20.8.26 A Block new020_20260820_172646_20260821_113207_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new020_20260820_172646\20.8.26 A Block new020_20260820_172646_20260821_113207_LF.sgy
A,21,Y-line,x,400,y,0,530.0,550,-20.0,213,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new021_20260820_172720\20.8.26 A Block new021_20260820_172720_20260821_113401_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new021_20260820_172720\20.8.26 A Block new021_20260820_172720_20260821_113401_LF.sgy
A,22,Y-line,x,450,y,0,552.5,550,2.5,222,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new022_20260820_172754\20.8.26 A Block new022_20260820_172754_20260821_113401_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new022_20260820_172754\20.8.26 A Block new022_20260820_172754_20260821_113401_LF.sgy
A,23,Y-line,x,500,y,0,542.5,550,-7.5,218,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new023_20260820_172828\20.8.26 A Block new023_20260820_172828_20260821_113401_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new023_20260820_172828\20.8.26 A Block new023_20260820_172828_20260821_113401_LF.sgy
A,24,Y-line,x,550,y,0,537.5,550,-12.5,216,2.5,655,664,40,81,7.0,24.4,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new024_20260820_172858\20.8.26 A Block new024_20260820_172858_20260821_113401_HF.sgy,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new024_20260820_172858\20.8.26 A Block new024_20260820_172858_20260821_113401_LF.sgy
B,1,X-line,y,0,x,0,965.0,950,15.0,387,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new001_20260820_180157\20.8.26 B Block proceq new001_20260820_180157_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new001_20260820_180157\20.8.26 B Block proceq new001_20260820_180157_20260821_120010_LF.sgy
B,2,X-line,y,50,x,0,957.5,950,7.5,384,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new002_20260820_180238\20.8.26 B Block proceq new002_20260820_180238_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new002_20260820_180238\20.8.26 B Block proceq new002_20260820_180238_20260821_120010_LF.sgy
B,3,X-line,y,100,x,0,960.0,950,10.0,385,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new003_20260820_180328\20.8.26 B Block proceq new003_20260820_180328_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new003_20260820_180328\20.8.26 B Block proceq new003_20260820_180328_20260821_120010_LF.sgy
B,4,X-line,y,150,x,0,957.5,950,7.5,384,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new004_20260820_180642\20.8.26 B Block proceq new004_20260820_180642_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new004_20260820_180642\20.8.26 B Block proceq new004_20260820_180642_20260821_120010_LF.sgy
B,5,X-line,y,200,x,0,957.5,950,7.5,384,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new005_20260820_180821\20.8.26 B Block proceq new005_20260820_180821_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new005_20260820_180821\20.8.26 B Block proceq new005_20260820_180821_20260821_120010_LF.sgy
B,6,X-line,y,250,x,0,960.0,950,10.0,385,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new006_20260820_180908\20.8.26 B Block proceq new006_20260820_180908_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new006_20260820_180908\20.8.26 B Block proceq new006_20260820_180908_20260821_120010_LF.sgy
B,7,X-line,y,300,x,0,967.5,950,17.5,388,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new007_20260820_180952\20.8.26 B Block proceq new007_20260820_180952_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new007_20260820_180952\20.8.26 B Block proceq new007_20260820_180952_20260821_120010_LF.sgy
B,8,X-line,y,350,x,0,962.5,950,12.5,386,2.5,655,664,40,81,7.0,24.4,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new008_20260820_181049\20.8.26 B Block proceq new008_20260820_181049_20260821_120010_HF.sgy,B Block\SEGY_20260821_115004\SEGY_20260821_115004\20.8.26 B Block proceq new008_20260820_181049\20.8.26 B Block proceq new008_20260820_181049_20260821_120010_LF.sgy
