block,l1,l2,r_nominal,r_best,shift_cm
B,6,30,0.4937,0.6587,-4.98
B,6,31,0.4238,0.6674,12.45
B,6,32,0.5615,0.8791,-7.47
B,6,33,0.7598,0.8346,-2.49
B,7,14,0.1498,0.5592,14.94
B,7,15,0.5688,0.7491,2.49
B,7,16,0.1608,0.7148,4.98
B,7,17,0.6141,0.6168,4.98
B,7,18,0.5148,0.678,2.49
B,7,19,0.5612,0.5612,0.0
B,7,20,0.6642,0.7316,-2.49
B,7,21,0.2009,0.7039,-19.92
B,7,22,0.6705,0.7355,-2.49
B,7,23,0.4002,0.6173,-2.49
B,7,24,0.5494,0.5494,0.0
B,7,25,0.1166,0.6362,-7.47
B,7,26,0.665,0.665,0.0
B,7,27,0.7037,0.7909,-4.98
B,7,28,0.6461,0.7313,12.45
B,7,29,0.4963,0.6961,-4.98
B,7,30,0.0147,0.6166,-19.92
B,7,31,0.2504,0.4103,-9.96
B,7,32,0.7175,0.7303,-7.47
B,7,33,0.2063,0.3481,12.45
B,8,14,0.4304,0.6124,12.45
B,8,15,0.2647,0.5351,12.45
B,8,16,0.3195,0.5149,14.94
B,8,17,0.5032,0.6498,2.49
B,8,18,0.2268,0.5509,-17.43
B,8,19,0.4715,0.4804,4.98
B,8,20,0.3627,0.5452,-2.49
B,8,21,0.4228,0.5334,-2.49
B,8,22,0.4864,0.6797,4.98
B,8,23,0.1771,0.7014,14.94
B,8,24,0.1155,0.6146,-4.98
B,8,25,0.4034,0.5696,19.92
B,8,26,0.3913,0.7405,-14.94
B,8,27,0.3475,0.6354,14.94
B,8,28,0.7904,0.8376,2.49
B,8,29,0.3785,0.7797,9.96
B,8,30,0.6366,0.8137,7.47
B,8,31,0.5878,0.6763,14.94
B,8,32,0.5196,0.6632,-9.96
B,8,33,0.3764,0.8103,12.45
B,9,14,0.1378,0.6355,7.47
B,9,15,-0.061,0.7944,4.98
B,9,16,0.2723,0.4242,2.49
B,9,17,0.4441,0.7443,7.47
B,9,18,0.2599,0.7054,-14.94
B,9,19,0.2761,0.5035,4.98
B,9,20,0.139,0.5637,9.96
B,9,21,0.2478,0.493,-2.49
B,9,22,0.516,0.5936,4.98
B,9,23,0.3968,0.6795,2.49
B,9,24,0.4075,0.6379,7.47
B,9,25,0.5039,0.6033,14.94
B,9,26,0.3107,0.4021,14.94
B,9,27,0.5017,0.5315,4.98
B,9,28,0.025,0.7206,17.43
B,9,29,-0.0199,0.8881,19.92
B,9,30,0.473,0.7678,9.96
B,9,31,0.2799,0.6541,12.45
B,9,32,0.218,0.4616,14.94
B,9,33,0.6858,0.8105,4.98
B,10,14,0.4056,0.5645,12.45
B,10,15,0.5834,0.7202,2.49
B,10,16,0.5646,0.6342,-14.94
B,10,17,0.3989,0.5346,4.98
B,10,18,0.5421,0.5421,0.0
B,10,19,0.5887,0.5887,0.0
B,10,20,0.3257,0.6961,7.47
B,10,21,0.4457,0.5781,-2.49
B,10,22,0.1561,0.6706,9.96
B,10,23,0.3478,0.7058,7.47
B,10,24,0.3611,0.555,17.43
B,10,25,0.2353,0.4912,14.94
B,10,26,0.2696,0.5462,9.96
