block,line_no,csv,Repetition Rate [scans/cm],Scan Direction,Mode,Units,Firmware Version,App Version,Probe S/N,File Name,nsamp_LF,nsamp_HF,win_LF,win_HF,fs_LF,fs_HF,antsp_LF,antsp_HF,scan_m,startx,starty,n_line_entries,ntr_HF,ns_HF,dt_HF,fmt_HF,sgy_HF,ntr_LF,ns_LF,dt_LF,fmt_LF,sgy_LF
A,11,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new011_20260820_172050\20.8.26 A Block new011_20260820_172050_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new011,664,655,81,40,8.19,16.38,24.4,7.0,5.575,0.0,0.0,1,224,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new011_20260820_172050\20.8.26 A Block new011_20260820_172050_20260821_113207_HF.sgy,224,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new011_20260820_172050\20.8.26 A Block new011_20260820_172050_20260821_113207_LF.sgy
A,12,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new012_20260820_172115\20.8.26 A Block new012_20260820_172115_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new012,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new012_20260820_172115\20.8.26 A Block new012_20260820_172115_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new012_20260820_172115\20.8.26 A Block new012_20260820_172115_20260821_113207_LF.sgy
A,13,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new013_20260820_172200\20.8.26 A Block new013_20260820_172200_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new013,664,655,81,40,8.19,16.38,24.4,7.0,5.5,0.0,0.0,1,221,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new013_20260820_172200\20.8.26 A Block new013_20260820_172200_20260821_113207_HF.sgy,221,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new013_20260820_172200\20.8.26 A Block new013_20260820_172200_20260821_113207_LF.sgy
A,14,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new014_20260820_172243\20.8.26 A Block new014_20260820_172243_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new014,664,655,81,40,8.19,16.38,24.4,7.0,5.35,0.0,0.0,1,215,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new014_20260820_172243\20.8.26 A Block new014_20260820_172243_20260821_113207_HF.sgy,215,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new014_20260820_172243\20.8.26 A Block new014_20260820_172243_20260821_113207_LF.sgy
A,15,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new015_20260820_172313\20.8.26 A Block new015_20260820_172313_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new015,664,655,81,40,8.19,16.38,24.4,7.0,5.45,0.0,0.0,1,219,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new015_20260820_172313\20.8.26 A Block new015_20260820_172313_20260821_113207_HF.sgy,219,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new015_20260820_172313\20.8.26 A Block new015_20260820_172313_20260821_113207_LF.sgy
A,16,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new016_20260820_172355\20.8.26 A Block new016_20260820_172355_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new016,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new016_20260820_172355\20.8.26 A Block new016_20260820_172355_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new016_20260820_172355\20.8.26 A Block new016_20260820_172355_20260821_113207_LF.sgy
A,17,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new017_20260820_172444\20.8.26 A Block new017_20260820_172444_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new017,664,655,81,40,8.19,16.38,24.4,7.0,5.5,0.0,0.0,1,221,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new017_20260820_172444\20.8.26 A Block new017_20260820_172444_20260821_113207_HF.sgy,221,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new017_20260820_172444\20.8.26 A Block new017_20260820_172444_20260821_113207_LF.sgy
A,18,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new018_20260820_172527\20.8.26 A Block new018_20260820_172527_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new018,664,655,81,40,8.19,16.38,24.4,7.0,5.45,0.0,0.0,1,219,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new018_20260820_172527\20.8.26 A Block new018_20260820_172527_20260821_113207_HF.sgy,219,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new018_20260820_172527\20.8.26 A Block new018_20260820_172527_20260821_113207_LF.sgy
A,19,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new019_20260820_172601\20.8.26 A Block new019_20260820_172601_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new019,664,655,81,40,8.19,16.38,24.4,7.0,5.475,0.0,0.0,1,220,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new019_20260820_172601\20.8.26 A Block new019_20260820_172601_20260821_113207_HF.sgy,220,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new019_20260820_172601\20.8.26 A Block new019_20260820_172601_20260821_113207_LF.sgy
A,20,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new020_20260820_172646\20.8.26 A Block new020_20260820_172646_20260821_113207.csv,0.4,Left to Right,Line Scan,Metric,5.7.6,3.8.1,GS80-001-0145,20.8.26 A Block new020,664,655,81,40,8.19,16.38,24.4,7.0,5.25,0.0,0.0,1,211,655,61,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new020_20260820_172646\20.8.26 A Block new020_20260820_172646_20260821_113207_HF.sgy,211,664,122,5,A Block\SEGY_20260821_113207\SEGY_20260821_113207\20.8.26 A Block new020_20260820_172646\20.8.26 A Block new020_20260820_172646_20260821_113207_LF.sgy
